Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visita,Ganador
17,O'Higgins,Colo-Colo,1,1,Empate
17,Palestino,Unión Española,1,0,Local
17,Universidad Católica,Coquimbo Unido,0,3,Visita
17,Deportes Iquique,Audax Italiano,1,0,Local
17,Unión La Calera,Universidad de Chile,0,4,Visita
18,Audax Italiano,Palestino,1,1,Empate
18,Unión Española,Deportes La Serena,1,0,Local
18,Coquimbo Unido,Deportes Limache,2,1,Local
18,Deportes Iquique,Universidad Católica,2,2,Empate
18,O'Higgins,Unión La Calera,1,0,Local
18,Colo-Colo,Huachipato,2,2,Empate
18,Ñublense,Everton,1,0,Local
18,Universidad de Chile,Cobresal,0,1,Visita
19,Palestino,Deportes Iquique,2,0,Local
19,Deportes La Serena,O'Higgins,3,3,Empate
19,Huachipato,Unión La Calera,1,0,Local
19,Cobresal,Coquimbo Unido,1,2,Visita
19,Everton,Colo-Colo,1,1,Empate
19,Deportes Limache,Audax Italiano,4,0,Local
19,Universidad de Chile,Unión Española,4,1,Local
19,Universidad Católica,Ñublense,1,0,Local
20,Unión Española,Deportes Iquique,2,2,Empate
20,Unión La Calera,Deportes La Serena,1,1,Empate
20,Ñublense,Palestino,1,0,Local
20,Colo-Colo,Universidad Católica,1,4,Visita
20,O'Higgins,Cobresal,1,0,Local
20,Universidad de Chile,Audax Italiano,1,3,Visita
20,Huachipato,Deportes Limache,4,0,Local
20,Coquimbo Unido,Everton,2,1,Local
21,Palestino,Colo-Colo,0,0,Empate
21,Deportes Limache,O'Higgins,2,2,Empate
21,Deportes La Serena,Huachipato,0,2,Visita
21,Deportes Iquique,Ñublense,0,2,Visita
21,Universidad de Chile,Everton,1,1,Empate
21,Universidad Católica,Unión Española,1,1,Empate
21,Audax Italiano,Coquimbo Unido,1,1,Empate
21,Cobresal,Unión La Calera,1,0,Local
22,Palestino,Unión La Calera,2,1,Local
22,Everton,Deportes La Serena,2,1,Local
22,Huachipato,Coquimbo Unido,1,1,Empate
22,Universidad Católica,Cobresal,2,0,Local
22,O'Higgins,Audax Italiano,1,1,Empate
22,Ñublense,Unión Española,1,2,Visita
22,Deportes Iquique,Deportes Limache,1,1,Empate
22,Colo-Colo,Universidad de Chile,0,0,Empate
23,Unión La Calera,Everton,1,0,Local
23,Unión Española,Audax Italiano,3,4,Visita
23,Palestino,O'Higgins,1,2,Visita
23,Cobresal,Huachipato,3,2,Local
23,Deportes Limache,Universidad Católica,0,1,Visita
23,Colo-Colo,Deportes Iquique,4,0,Local
23,Deportes La Serena,Universidad de Chile,1,1,Empate
23,Coquimbo Unido,Ñublense,2,1,Local
24,Unión Española,Huachipato,4,2,Local
24,Universidad de Chile,Palestino,2,1,Local
24,Audax Italiano,Unión La Calera,0,1,Visita
24,Deportes Iquique,O'Higgins,1,1,Empate
24,Deportes La Serena,Ñublense,0,0,Empate
24,Deportes Limache,Cobresal,1,2,Visita
24,Coquimbo Unido,Colo-Colo,1,1,Empate
24,Everton,Universidad Católica,0,3,Visita
25,Palestino,Everton,2,1,Local
25,Deportes La Serena,Audax Italiano,2,1,Local
25,Huachipato,Deportes Iquique,1,1,Empate
25,O'Higgins,Coquimbo Unido,0,1,Visita
25,Universidad Católica,Universidad de Chile,1,0,Local
25,Cobresal,Unión Española,1,0,Local
25,Unión La Calera,Ñublense,3,0,Local
25,Colo-Colo,Deportes Limache,2,2,Empate
26,Deportes Iquique,Deportes La Serena,1,2,Visita
26,Coquimbo Unido,Unión La Calera,2,0,Local
26,Universidad Católica,O'Higgins,0,2,Visita
